,INSTNM,STABBR,ADM_RATE_ALL,SATMTMID,SATVRMID,SAT_AVG_ALL,AVGFACSAL,TUITFTE,TUITIONFEE_IN,TUITIONFEE_OUT,CONTROL,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,INC_PCT_LO,INC_PCT_M1,INC_PCT_M2,INC_PCT_H1,INC_PCT_H2,RET_FT4,PCTFLOAN,C150_4,mn_earn_wne_p10,md_earn_wne_p10,PFTFAC
2728,Medaille College,NY,445,430,435,865,5457,14138,23812,23812,2,1716,0.6329,0.1981,0.0414,0.0111,0.0023,0.0052,0.035,0.0192,0.0548,0.502715283,0.162141195,0.156710628,0.114817688,0.063615206,0.587,0.8454,0.4914,43900,38200,0.4271
2741,Molloy College,NY,983,535,520,1054,8716,20700,25710,25710,2,3322,0.6246,0.1258,0.1379,0.0704,0.0018,0.0057,0.0108,0.0018,0.0211,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8909,0.7941,0.6622,60200,57500,0.248
2744,Mount Saint Mary College,NY,1338,505,495,1006,8458,16976,26250,26250,2,2155,0.6436,0.0705,0.1211,0.0232,0.0079,0.0042,0.0121,0.0014,0.116,0.299379982,0.132860939,0.13020372,0.159433127,0.278122232,0.6955,0.7213,0.522,50200,47600,0.3485
2745,College of Mount Saint Vincent,NY,994,455,460,919,8049,17983,30290,30290,2,1635,0.2661,0.1731,0.3394,0.0954,0.0024,0.0006,0.055,0.0171,0.0508,0.378555799,0.193654267,0.128008753,0.119256018,0.180525164,0.6687,0.9077,0.5152,55300,51900,0.3524
2750,The College of New Rochelle,NY,509,493,485,986,8030,12484,31260,31260,2,3207,0.0599,0.5186,0.1285,0.0181,0.0028,0.0016,0.0075,0.0022,0.261,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6206,0.6525,0.2634,40200,37400,0.2377
2751,The New School,NY,784,558,570,1131,9716,25271,40426,40426,2,6581,0.3569,0.0538,0.0997,0.1062,0.0006,0.0012,0.0351,0.3071,0.0394,0.435858586,0.135858586,0.132828283,0.113636364,0.181818182,0.8276,0.4127,0.6336,46700,39400,0.1993
2759,New York University,NY,90,685,670,1348,13434,31648,44848,44848,2,22172,0.3837,0.0467,0.1052,0.1837,0.0024,0.0009,0.0346,0.1363,0.1065,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.925,0.4131,0.8331,76800,58800,0.4045
2761,Niagara University,NY,775,520,505,1038,8135,13010,28200,28200,2,2841,0.7554,0.0574,0.0429,0.0141,0.0092,0.0004,0.0165,0.0429,0.0612,0.255733148,0.118832523,0.181375956,0.225851286,0.218207088,0.8072,0.644,0.6513,46000,44000,1
2765,New York Institute of Technology,NY,1020,545,495,1039,11418,28199,30780,30780,2,4307,0.1941,0.078,0.1261,0.127,0.0035,0.0016,0.0098,0.1193,0.3406,0.414634146,0.163838812,0.144750795,0.118769883,0.158006363,0.7208,0.5407,0.4705,56000,49400,0.1962
2767,Nyack College,NY,1501,445,468,915,6525,13307,23250,23250,2,1818,0.236,0.2932,0.2761,0.099,0.0039,0.0033,0.0226,0.0468,0.0193,0.4825,0.184166667,0.143333333,0.111666667,0.078333333,0.7106,0.8471,0.4276,44000,38100,0.4886
2772,Pace University-New York,NY,1117,520,520,1043,11627,20091,38069,38069,2,7883,0.4784,0.1095,0.1615,0.0908,0.0033,0.0018,0.0355,0.0644,0.0548,0.359947644,0.152094241,0.15052356,0.133507853,0.203926702,0.7599,0.5818,0.5146,63500,58400,1
2773,Paul Smiths College of Arts and Science,NY,1041,480,490,986,5447,12425,25261,25261,2,978,0.682,0.0112,0.0337,0.002,0.0041,0,0.0123,0.002,0.2526,0.312297735,0.131067961,0.187702265,0.203883495,0.165048544,0.6915,0.8197,0.4084,35700,32200,0.7561
2776,Polytechnic Institute of New York University,NY,90,690,605,1348,10047,23445,41328,41328,2,2078,0.2955,0.064,0.0929,0.3474,0.0029,0,0,0.0972,0.1001,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8792,0.5746,0.5714,75600,73500,1
2777,Davis College,NY,560,465,495,928,4587,9951,12640,12640,2,247,0.7368,0.1336,0.0607,0.0202,0.004,0,0.0121,0.0283,0.004,0.537974684,0.158227848,0.202531646,PrivacySuppressed,PrivacySuppressed,0.871,0.4429,0.4211,32300,28300,0.3684
2778,Pratt Institute-Main,NY,479,570,565,1140,9254,27862,43126,43126,2,3247,0.4521,0.0447,0.0986,0.1571,0.0034,0.0034,0.0006,0.2239,0.0163,0.320754717,0.158712542,0.128745838,0.137624861,0.254162042,0.8673,0.4808,0.6277,43500,38200,0.1423
2788,Rensselaer Polytechnic Institute,NY,213,719,670,1366,12145,26147,46269,46269,2,5379,0.6492,0.0232,0.0682,0.0996,0.0011,0.0006,0.0625,0.0736,0.0219,0.162190627,0.087414429,0.145339652,0.185360716,0.419694576,0.9351,0.5866,0.8494,85500,81700,0.8304
2790,Roberts Wesleyan College,NY,980,525,520,1046,6293,15256,27364,27364,2,1302,0.7404,0.126,0.0568,0.0077,0.0038,0.0015,0.0284,0.0269,0.0084,0.332934132,0.168862275,0.196407186,0.17005988,0.131736527,0.8571,0.8074,0.6057,44400,41900,0.8739
2792,Rochester Institute of Technology,NY,610,625,590,1232,9621,19189,34424,34424,2,12587,0.6274,0.0516,0.0635,0.0589,0.0021,0.0006,0.0245,0.051,0.1205,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8691,0.6848,0.6388,61300,56900,0.6729
2793,University of Rochester,NY,153,700,650,1353,12762,21174,45372,45372,2,6047,0.5361,0.0475,0.0567,0.1052,0.0026,0.0008,0.0278,0.1507,0.0726,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.9605,0.5253,0.8518,74300,55500,0.9527
2798,St Bonaventure University,NY,1198,535,520,1075,6445,14460,29589,29589,2,1787,0.6771,0.0504,0.0655,0.0386,0.0039,0.0028,0.0118,0.0201,0.1298,0.225955968,0.146002318,0.163383546,0.186558517,0.278099652,0.8066,0.7044,0.666,50200,45200,0.6586
2799,St Francis College,NY,716,470,470,940,8739,12946,20700,20700,2,2725,0.3747,0.1974,0.2206,0.033,0.0022,0.0099,0.0228,0.0539,0.0855,0.445718654,0.170489297,0.143730887,0.113914373,0.126146789,0.7959,0.5035,0.5209,53100,49000,0.2544
2803,St Thomas Aquinas College,NY,1253,470,470,931,8773,17913,26340,26340,2,1279,0.5536,0.0837,0.1955,0.0274,0.0031,0,0.0203,0.0156,0.1009,0.309294872,0.129807692,0.126602564,0.134615385,0.299679487,0.737,0.4761,0.5278,49800,48000,0.351
2808,Siena College,NY,831,570,550,1122,8320,16661,31368,31368,2,3102,0.8053,0.038,0.0661,0.0416,0.0023,0.001,0.0245,0.0148,0.0064,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8595,0.7079,0.7964,61300,55100,0.6328
2810,Skidmore College,NY,144,620,620,1247,9067,30105,45874,45874,2,2646,0.6349,0.0359,0.0854,0.0578,0,0.0019,0.0446,0.0676,0.0718,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.9304,0.3211,0.8592,51400,43100,0.8271
2811,Saint Joseph's College-New York,NY,1068,530,520,1054,8720,14615,21878,21878,2,4408,0.588,0.0962,0.1157,0.0286,0.0054,0.0018,0.0077,0.0544,0.1021,0.355875832,0.151330377,0.13691796,0.149113082,0.206762749,0.8371,0.5391,0.7158,54200,51800,1
2817,Saint John Fisher College,NY,672,555,525,1095,8342,16702,28430,28430,2,2948,0.8351,0.0424,0.039,0.0258,0.002,0.001,0.0142,0.002,0.0383,0.259784076,0.117408907,0.165991903,0.191632929,0.265182186,0.8322,0.7973,0.7253,49700,44800,1
2820,St John's University-New York,NY,421,555,535,1093,11777,21499,37260,37260,2,11147,0.3391,0.1931,0.1639,0.1887,0.002,0.0029,0.0432,0.0499,0.0174,0.358214554,0.150412603,0.160915229,0.1415979,0.188859715,0.7962,0.5684,0.557,60100,54100,0.4538
2824,SUNY College of Technology at Alfred,NY,459,570,520,1090,5797,3258,7294,13954,1,3494,0.7896,0.099,0.0595,0.0077,0.002,0.0009,0.0232,0.0129,0.0052,0.375903615,0.185140562,0.179116466,0.157831325,0.102008032,0.8512,0.7387,0.4693,39000,35300,0.7336
2827,SUNY College of Agriculture and Technology at Cobleskill,NY,993,495,495,975,6477,4023,7149,16599,1,2411,0.7623,0.1107,0.0966,0.0124,0.0033,0,0,0.0137,0.0008,0.434611049,0.165163472,0.158962796,0.134723788,0.106538895,0.7405,0.695,0.3388,36900,34800,0.5183
2828,Farmingdale State College,NY,412,495,470,969,7951,5323,7125,16575,1,7455,0.6145,0.1057,0.1543,0.0699,0.002,0.0048,0.0168,0.0276,0.0044,0.405972046,0.167090216,0.133735705,0.126111817,0.167090216,0.8234,0.3193,0.4574,50500,45600,0.3106
2829,Morrisville State College,NY,573,475,460,930,5781,3329,7412,16862,1,2849,0.675,0.1878,0.0769,0.0109,0.0084,0,0.0221,0.0098,0.0091,0.468281938,0.174449339,0.134801762,0.13215859,0.09030837,0.6667,0.7502,0.2608,34300,31300,0.5984
2830,SUNY at Albany,NY,473,565,535,1102,9423,5818,8040,18360,1,12542,0.5347,0.1442,0.1323,0.0757,0.0028,0.0015,0.0257,0.0489,0.0342,0.360525462,0.15423289,0.147583523,0.13850146,0.199156666,0.815,0.6069,0.6638,56700,50900,0.5564
2831,SUNY at Binghamton,NY,234,670,633,1297,9059,6701,8144,18464,1,12940,0.5386,0.0504,0.0955,0.1413,0.0011,0.0005,0.0238,0.1123,0.0366,0.345935315,0.127840909,0.141826923,0.136800699,0.247596154,0.9074,0.4836,0.8077,65100,58400,0.6962
2832,University at Buffalo,NY,497,605,550,1158,10026,7732,8211,20151,1,19365,0.4951,0.0675,0.0663,0.1286,0.0021,0.0008,0.0203,0.1637,0.0557,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8759,0.4677,0.72,57300,49700,0.6065
2833,Stony Brook University,NY,194,650,600,1253,10346,7339,7995,19935,1,15724,0.3782,0.0614,0.1032,0.2447,0.0015,0.0015,0.0224,0.0984,0.0887,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.9009,0.4563,0.6593,59500,55500,0.5938
2834,SUNY College of Environmental Science and Forestry,NY,366,590,570,1155,8282,4726,7033,16483,1,1694,0.8725,0.013,0.0242,0.0272,0.0018,0.0006,0.0236,0.0171,0.0201,0.243169399,0.142076503,0.165300546,0.18715847,0.262295082,0.8567,0.5757,0.716,46700,44600,0.7439
2835,SUNY Institute of Technology at Utica-Rome,NY,310,540,500,1053,8487,5228,7090,16540,1,1714,0.8069,0.0758,0.0554,0.0309,0.0018,0.0018,0.0187,0.0088,0,0.415486308,0.156751653,0.200188857,0.125590179,0.101983003,0.8384,0.5446,0.4778,51200,47900,0.4167
2836,SUNY College at Brockport,NY,315,540,520,1069,7181,4792,7222,16672,1,7040,0.7435,0.0783,0.0477,0.0138,0.0026,0.0004,0.0199,0.0075,0.0864,0.369190295,0.156094709,0.156387021,0.168371821,0.149956153,0.8079,0.7085,0.6676,43200,40100,0.5687
2837,Buffalo State SUNY,NY,330,495,480,975,7444,3990,7022,16382,1,9190,0.6294,0.2055,0.093,0.0217,0.0037,0.0013,0.0297,0.0133,0.0024,0.451274671,0.165707237,0.142886513,0.137746711,0.102384868,0.7532,0.6466,0.4892,40600,38900,0.4941
2838,SUNY College at Cortland,NY,299,540,515,1058,6517,5412,7327,16777,1,6394,0.7136,0.0432,0.1017,0.0106,0.0019,0.0006,0.017,0.0061,0.1053,0.247463175,0.12405892,0.150245499,0.181996727,0.296235679,0.8289,0.6861,0.6951,46900,45300,0.4812
2839,SUNY at Fredonia,NY,390,525,520,1056,6817,4932,7400,16850,1,5049,0.8071,0.0495,0.0473,0.0204,0.0032,0.001,0.0083,0.0285,0.0347,0.284969592,0.139443962,0.182450043,0.19287576,0.200260643,0.7757,0.705,0.6443,42300,40600,0.5169
2840,SUNY College at Geneseo,NY,278,650,635,1274,7177,5356,7430,16880,1,5463,0.7516,0.0291,0.0619,0.0659,0.0022,0.0007,0.0245,0.0238,0.0403,0.248101266,0.11443038,0.147848101,0.207594937,0.282025317,0.9025,0.4918,0.7794,51300,46700,0.7188
2841,State University of New York at New Paltz,NY,248,565,560,1129,6719,5708,7083,16533,1,6397,0.6778,0.0553,0.1174,0.0456,0.0028,0.0009,0,0.0191,0.081,0.351631478,0.123224568,0.139731286,0.147024952,0.238387716,0.8722,0.5366,0.7049,47700,46000,0.5347
2842,SUNY Oneonta,NY,372,560,540,1097,6242,4624,7230,16680,1,5759,0.8175,0.0328,0.087,0.0155,0.0023,0.0005,0,0.0135,0.0309,0.254056193,0.121883657,0.149188761,0.192322913,0.282548477,0.8741,0.6255,0.6978,44400,42400,0.5653
2843,SUNY College at Oswego,NY,332,555,555,1110,6733,4850,7181,16631,1,7245,0.793,0.0592,0.0876,0.0173,0.0017,0.0007,0.0231,0.016,0.0015,0.30617152,0.141864814,0.164039541,0.172054502,0.215869623,0.7803,0.704,0.5785,43200,40700,0.5811
2845,SUNY at Purchase College,NY,128,530,550,1082,7092,6128,7573,17023,1,4017,0.5738,0.0802,0.1847,0.0324,0.002,0.0007,0.0431,0.0197,0.0635,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.824,0.5996,0.5971,39400,34700,0.3949
2847,SUNY College at Old Westbury,NY,541,510,490,998,8055,4018,6624,15874,1,4045,0.3224,0.3053,0.2131,0.0907,0.0022,0.0037,0.0279,0.0111,0.0235,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7583,0.4717,0.3649,47300,42900,0.4412
2848,SUNY College at Plattsburgh,NY,277,520,505,1026,6830,5027,7179,16629,1,5494,0.7084,0.0617,0.0863,0.0206,0.0033,0.0005,0.0177,0.0575,0.044,0.349420849,0.133590734,0.147104247,0.157528958,0.212355212,0.8376,0.6593,0.6033,43000,40600,0.5556
2851,SUNY Maritime College,NY,700,540,510,1056,6536,6028,7109,16559,1,1565,0.7188,0.0364,0.0895,0.0377,0.0006,0.0006,0.0096,0.0294,0.0773,0.227758007,0.112099644,0.144128114,0.154804271,0.361209964,0.7933,0.5434,0.5014,77600,77300,0.6296
2854,Syracuse University,NY,352,595,560,1158,10822,21538,40458,40458,2,14738,0.5567,0.0894,0.1076,0.0807,0.0071,0.0005,0.0257,0.0936,0.0387,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.919,0.5699,0.8108,63900,56600,0.6598
2866,Union College,NY,170,675,635,1313,10454,27943,46785,46785,2,2206,0.7539,0.0394,0.0662,0.058,0.0009,0.0005,0.0204,0.0607,0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.9171,0.5721,0.8804,71200,61800,0.8627
2870,Utica College,NY,1326,475,465,946,7905,15638,33320,33320,2,2831,0.6976,0.1035,0.0788,0.0258,0.0064,0.0021,0.018,0.0279,0.0399,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7194,0.7214,0.4715,47400,44700,0.3549
2872,Vassar College,NY,64,690,700,1394,11065,24134,47890,47890,2,2436,0.6125,0.0575,0.1104,0.0952,0.0004,0,0.0587,0.0644,0.0008,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.9559,0.3716,0.9365,53800,47100,0.8683
2874,School of Visual Arts,NY,1049,510,505,1020,4887,30808,32270,32270,3,3469,0.4062,0.0577,0.0755,0.1404,0.0055,0.0052,0,0.2819,0.0277,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8293,0.4736,0.6459,48300,40100,0.1403
2875,Wagner College,NY,891,580,580,1154,7949,22283,39220,39220,2,1830,0.6612,0.0612,0.0929,0.0251,0.0011,0.0005,0.0197,0.0328,0.1055,0.226490066,0.095364238,0.121854305,0.158940397,0.397350993,0.8803,0.6318,0.6136,57100,53800,1
2876,Webb Institute,NY,94,740,695,1435,9175,0,42750,42750,2,82,0.8537,0,0,0.0854,0,0,0.061,0,0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.9091,0.1646,0.7391,PrivacySuppressed,PrivacySuppressed,0.6667
2877,Wells College,NY,594,530,540,1075,6983,13966,35900,35900,2,526,0.635,0.1103,0.0779,0.019,0.0076,0.0038,0.0342,0.0323,0.0798,0.364383562,0.156164384,0.180821918,0.17260274,0.126027397,0.7259,0.8233,0.5805,36500,33600,0.6129
2888,Yeshiva University,NY,1249,620,615,1217,5086,22428,37600,37600,2,2887,0.9193,0.0007,0.0042,0.0007,0,0,0.0035,0.0578,0.0139,0.317700454,0.136157337,0.140695915,0.118003026,0.287443268,0.929,0.2656,0.8519,63100,55600,0.6916
2894,Appalachian State University,NC,684,580,570,1156,7657,5790,6462,18670,1,15840,0.8612,0.0306,0.0419,0.0136,0.0025,0.0007,0.0239,0.0076,0.0181,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8718,0.4596,0.6857,40300,36600,0.724
2896,Barton College,NC,223,475,455,939,5838,14382,25396,25396,2,1043,0.5877,0.2464,0.0403,0.0077,0.0058,0.0029,0.0288,0.023,0.0575,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6866,0.781,0.4839,38500,36500,0.6696
2898,Belmont Abbey College,NC,818,485,484,977,4524,9837,18500,18500,2,1634,0.3703,0.2723,0.0184,0.0073,0.0012,0.0006,0.0043,0.0214,0.3042,0.420042644,0.173773987,0.153518124,0.10554371,0.147121535,0.65,0.7966,0.381,44300,39200,0.5909
2902,Brevard College,NC,267,480,470,950,5054,12230,25200,25200,2,700,0.7529,0.0986,0.0029,0.0057,0.01,0,0.0229,0.0614,0.0457,0.328947368,0.14254386,0.217105263,0.186403509,0.125,0.5662,0.6872,0.432,33200,31100,1
2907,Campbell University,NC,889,515,518,1030,7536,10521,26240,26240,2,4463,0.5451,0.1685,0.0614,0.022,0.0058,0.0016,0.0181,0.0166,0.1609,0.444078947,0.192763158,0.158552632,0.107236842,0.097368421,0.799,0.735,0.4893,53000,42900,0.4595
2911,Catawba College,NC,205,500,485,985,6342,17950,26820,26820,2,1273,0.696,0.2113,0.0291,0.0118,0.0094,0,0.0149,0.0267,0.0008,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7,0.678,0.5263,40100,36600,1
2916,Chowan University,NC,649,390,395,777,6164,11818,22510,22510,2,1361,0.2116,0.6958,0.0257,0.0007,0.0088,0,0.0382,0.0118,0.0073,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.4825,0.8486,0.244,37500,35400,0.5905
2921,Davidson College,NC,71,655,680,1353,11706,19936,42849,42849,2,1782,0.6874,0.0735,0.0623,0.0477,0.0062,0,0.0376,0.0533,0.032,0.220338983,0.118644068,0.186440678,0.206779661,0.26779661,0.9571,0.2134,0.9246,73000,58500,0.9355
2922,Duke University,NC,23,740,715,1444,14288,23668,45376,45376,2,6501,0.4861,0.1001,0.0611,0.2124,0.0062,0.0005,0.0174,0.0892,0.0271,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.972,0.371,0.9423,107600,76700,0.94
2924,East Carolina University,NC,661,535,515,1050,7975,6563,6143,20256,1,20625,0.7097,0.1562,0.051,0.026,0.0056,0.0011,0.0291,0.0042,0.0171,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8088,0.5528,0.5631,43900,39200,0.8428
2926,Elizabeth City State University,NC,516,435,415,849,7545,3357,4429,15286,1,2276,0.1428,0.7469,0.0066,0.0035,0.0053,0.0004,0.0062,0.0004,0.0879,0.593434343,0.179292929,0.118686869,0.068181818,0.04040404,0.7247,0.7652,0.4159,32600,30100,0.9763
2927,Elon University,NC,439,610,610,1200,8485,24332,30149,30149,2,5599,0.8162,0.0632,0.0463,0.0191,0.0034,0.0009,0.0163,0.0177,0.017,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8989,0.3375,0.8165,50100,44500,0.7118
2930,Fayetteville State University,NC,460,435,415,851,8064,3202,4605,15401,1,5077,0.1656,0.6715,0.0605,0.0124,0.0207,0.0006,0.0047,0.0079,0.0561,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7133,0.7136,0.3215,33200,31100,0.8166
2932,Gardner-Webb University,NC,323,515,495,1018,6413,9951,25830,25830,2,2559,0.6835,0.1637,0.0231,0.009,0.0059,0,0,0.0191,0.0957,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7181,0.4012,0.569,39900,36800,1
2935,Greensboro College,NC,1155,460,445,891,6025,12774,26306,26306,2,802,0.5536,0.2768,0.0262,0.0162,0.0087,0,0.0312,0,0.0873,0.410122164,0.162303665,0.164048866,0.143106457,0.120418848,0.6044,0.7619,0.3059,36500,35100,1
2936,Guilford College,NC,838,530,535,1067,6361,13264,32470,32470,2,2171,0.6214,0.246,0.058,0.0175,0.0041,0.0005,0.0318,0.0143,0.0064,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.718,0.6649,0.5676,43300,38500,0.6378
2941,High Point University,NC,710,550,535,1087,6894,22114,30715,30715,2,3996,0.8418,0.0571,0.0305,0.012,0.0148,0.0005,0.0095,0.0123,0.0215,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.75,0.4891,0.6176,42000,37500,1
2945,Johnson C Smith University,NC,164,410,417,826,6158,10822,18236,18236,2,1382,0.0058,0.7279,0.0601,0.0014,0.0014,0.0029,0.0166,0.0441,0.1397,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.5614,0.834,0.4431,33800,31300,0.6059
2949,Lenoir-Rhyne University,NC,832,500,480,976,6600,11750,29310,29310,2,1409,0.687,0.1391,0.049,0.0177,0.0057,0.0007,0.0227,0.0106,0.0674,0.371391076,0.174540682,0.195538058,0.137795276,0.120734908,0.6231,0.6917,0.4877,41400,36900,1
2951,Livingstone College,NC,922,365,365,723,5557,11219,16024,16024,2,1172,0.0043,0.9087,0.0094,0.0009,0.0051,0,0,0.0026,0.0691,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.5296,0.9334,0.2036,27700,26100,0.9306
2953,Mars Hill University,NC,719,475,460,941,5017,9187,25636,25636,2,1393,0.7042,0.1917,0.0258,0.0065,0.0251,0.0007,0,0,0.0459,0.442176871,0.175898931,0.176870748,0.124392614,0.080660836,0.5826,0.8905,0.3818,35000,32800,0.5986
2958,Meredith College,NC,664,520,515,1040,6925,18352,30562,30562,2,1543,0.722,0.1115,0.0324,0.0298,0.0052,0.0013,0.0279,0.0428,0.0272,0.327731092,0.146458583,0.18847539,0.168067227,0.169267707,0.7248,0.6871,0.6242,41900,38400,0.9686
2959,Methodist University,NC,640,490,470,961,6726,13883,27830,27830,2,2172,0.5134,0.2035,0.0714,0.0134,0.0087,0.0037,0.0428,0.0608,0.0824,0.426594927,0.183704842,0.160645657,0.10914681,0.119907763,0.5448,0.5739,0.4249,44500,39600,0.6853
2966,Montreat College,NC,445,475,475,950,5125,8906,23520,23520,2,661,0.5582,0.2088,0.0303,0.0091,0.0197,0,0.0197,0.0454,0.1089,0.406976744,0.213953488,0.162790698,0.134883721,0.081395349,0.5789,0.6733,0.419,46000,40800,1
2967,Mount Olive College,NC,355,475,445,915,6231,9598,17300,17300,2,3336,0.4724,0.3363,0.0363,0.0114,0.0159,0.0027,0.0003,0.0324,0.0923,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6371,0.7001,0.3833,43400,39200,1
2970,North Carolina A & T State University,NC,882,460,440,902,8227,5098,5422,16503,1,8577,0.0429,0.8681,0.0208,0.0069,0.0034,0.001,0.0203,0.0178,0.0188,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7977,0.7788,0.4289,38800,33600,0.7231
2971,University of North Carolina at Asheville,NC,703,595,600,1190,7371,6151,6241,20063,1,3323,0.8333,0.0307,0.0391,0.0147,0.0042,0.0009,0.0328,0.0039,0.0403,0.439750693,0.141274238,0.163434903,0.140581718,0.114958449,0.8025,0.4633,0.5954,39700,36000,0.7869
2972,University of North Carolina at Chapel Hill,NC,82,660,645,1313,11392,11914,8340,30122,1,17882,0.6632,0.0838,0.0707,0.0884,0.0048,0.0014,0.0373,0.0247,0.0257,0.280458775,0.155810431,0.171824281,0.163817356,0.228089158,0.9609,0.3192,0.9002,62400,50400,0.8575
2973,University of North Carolina at Charlotte,NC,853,550,520,1066,8337,7019,6107,18636,1,21400,0.6135,0.1666,0.0743,0.0504,0.0038,0.0014,0.0326,0.0246,0.0327,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8038,0.5879,0.539,47200,41700,0.7211
2974,University of North Carolina at Greensboro,NC,607,515,510,1029,7926,5580,6382,20180,1,14138,0.5752,0.2546,0.063,0.0431,0.0037,0.0011,0.0387,0.0174,0.0034,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7386,0.5872,0.5541,40600,37000,0.821
2975,North Carolina Central University,NC,361,435,425,859,7653,4987,5526,16099,1,5876,0.056,0.8439,0.0238,0.0095,0.0036,0,0.0289,0.0056,0.0286,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7318,0.8126,0.3972,34400,31600,0.7302
2976,University of North Carolina School of the Arts,NC,272,550,565,1105,6953,11470,8271,21416,1,792,0.7374,0.072,0.0922,0.0139,0.0051,0.0013,0.0379,0.0139,0.0265,0.283536585,0.143292683,0.204268293,0.137195122,0.231707317,0.848,0.5711,0.5968,37800,30500,0.733
2977,North Carolina State University at Raleigh,NC,359,630,595,1229,9774,7952,8206,21661,1,22977,0.7512,0.0691,0.0427,0.0523,0.0045,0.0006,0.0314,0.0267,0.0215,0.272572138,0.136208501,0.178715483,0.183059262,0.229444617,0.9258,0.424,0.7359,54800,47500,0.8813
2978,North Carolina Wesleyan College,NC,295,450,420,863,5438,12302,26632,26632,2,1602,0.3034,0.4925,0.0237,0.0044,0.0094,0.0006,0.0131,0.0312,0.1217,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.4887,0.8449,0.332,39800,35900,0.213
